Date,Open,High,Low,Close,Adj Close,Volume
,PTPI,PTPI,PTPI,PTPI,PTPI,PTPI
2022-03-22,322.5,322.5,302.5,307.5,307.5,1958
2022-03-23,307.5,320.0,300.0,302.5,302.5,1550
2022-03-24,302.5,310.0,297.5,305.0,305.0,830
2022-03-25,305.0,362.5,300.0,360.0,360.0,4432
2022-03-28,365.0,365.0,312.5,336.25,336.25,3340
2022-03-29,341.25,357.5,325.0,350.0,350.0,2076
2022-03-30,362.5,430.0,355.0,405.0,405.0,5374
2022-03-31,420.0,422.5,355.0,390.0,390.0,3030
2022-04-01,390.0,390.0,357.5,365.0,365.0,1778
2022-04-04,362.5,366.25,332.5,345.0,345.0,1465
2022-04-05,342.5,355.5,335.0,335.0,335.0,1137
2022-04-06,335.0,340.0,315.0,320.0,320.0,889
2022-04-07,312.5,331.0,287.5,297.5,297.5,1467
2022-04-08,307.5,309.25,295.0,305.0,305.0,663
2022-04-11,300.0,305.0,287.5,290.0,290.0,563
2022-04-12,290.0,295.25,277.5,280.0,280.0,620
2022-04-13,280.0,302.5,280.0,295.0,295.0,448
2022-04-14,335.0,335.0,297.5,302.5,302.5,707
2022-04-18,297.5,302.5,270.0,275.0,275.0,1251
2022-04-19,312.5,447.5,307.5,332.5,332.5,277444
2022-04-20,305.0,395.0,305.0,372.5,372.5,30928
2022-04-21,362.5,387.5,327.5,352.5,352.5,10058
2022-04-22,345.0,370.0,335.0,340.0,340.0,3140
2022-04-25,335.0,339.75,310.0,317.5,317.5,3024
2022-04-26,312.5,320.0,282.5,285.0,285.0,2823
2022-04-27,297.5,305.0,280.0,282.5,282.5,1502
2022-04-28,282.5,300.0,272.5,285.0,285.0,2562
2022-04-29,287.5,305.0,277.5,282.5,282.5,849
2022-05-02,280.0,287.5,272.5,277.5,277.5,981
2022-05-03,275.0,305.0,275.0,297.5,297.5,2152
2022-05-04,292.5,297.5,280.0,295.0,295.0,874
2022-05-05,287.5,292.5,277.5,282.5,282.5,1021
2022-05-06,287.5,287.5,272.5,275.0,275.0,1411
2022-05-09,272.5,272.5,238.75,249.25,249.25,1582
2022-05-10,250.0,257.5,232.5,235.75,235.75,627
2022-05-11,232.5,275.0,227.5,240.0,240.0,991
2022-05-12,230.0,250.0,215.75,235.0,235.0,1300
2022-05-13,236.25,246.25,227.5,240.0,240.0,688
2022-05-16,240.0,250.0,230.0,237.5,237.5,376
2022-05-17,234.25,237.5,219.25,227.25,227.25,691
2022-05-18,225.0,240.5,210.0,212.75,212.75,1265
2022-05-19,206.5,218.25,188.75,205.75,205.75,1339
2022-05-20,206.5,207.5,190.0,190.25,190.25,634
2022-05-23,192.25,197.5,161.5,181.0,181.0,984
2022-05-24,175.5,180.0,167.5,170.25,170.25,526
2022-05-25,169.75,180.0,162.5,175.5,175.5,604
2022-05-26,172.0,222.5,170.0,213.25,213.25,2010
2022-05-27,215.0,237.5,202.5,235.25,235.25,1235
2022-05-31,235.0,260.0,227.5,243.75,243.75,630
2022-06-01,248.0,257.5,225.0,232.5,232.5,777
2022-06-02,230.25,240.0,220.75,222.5,222.5,415
2022-06-03,220.0,222.5,207.5,212.75,212.75,261
2022-06-06,210.0,225.0,207.5,210.0,210.0,225
2022-06-07,210.75,221.25,207.75,212.5,212.5,192
2022-06-08,207.5,230.0,207.5,217.5,217.5,146
2022-06-09,219.5,225.0,208.0,212.5,212.5,397
2022-06-10,210.0,220.0,192.5,203.75,203.75,703
2022-06-13,187.5,215.0,175.0,199.25,199.25,1004
2022-06-14,193.25,207.5,183.75,195.0,195.0,192
2022-06-15,189.5,211.5,183.75,195.5,195.5,404
2022-06-16,192.5,195.0,185.0,193.75,193.75,191
2022-06-17,197.0,197.0,184.0,192.5,192.5,254
2022-06-21,189.5,200.0,189.5,197.5,197.5,346
2022-06-22,197.5,205.0,187.5,190.0,190.0,355
2022-06-23,190.0,203.75,183.75,190.0,190.0,406
2022-06-24,192.75,225.0,190.0,217.5,217.5,1786
2022-06-27,200.0,210.0,195.25,204.75,204.75,623
2022-06-28,207.5,310.0,207.5,226.0,226.0,14086
